rowid,epicid,tce_planet_num,tce_period,tce_time0bk,tce_duration,training_label,campaign,tce_depth,tce_impact
1,200001049,1,28.94461125,2002.122414,2.990041376, J,1,2.555702219,1.248386684
2,201124136,1,35.38110738,1990.254887,2.939212598, J,1,0.162759219,1.046836871
3,201126503,1,1.194869833,1977.375616,1.7932546, C,1,0.061295114,0.775590604
4,201131821,1,10.5507237,1987.073905,1.464041586, J,1,0.099763623,0.517321219
5,201133060,1,7.843923319,1978.523391,1.591163347, J,1,0.089307523,0.000494194
6,201136242,1,0.245037064,1977.338043,0.141141349, J,1,0.068636433,0.01
7,201137589,1,0.12262433,1977.287719,0.070631614, J,1,0.065830297,0.01
8,201141876,1,0.163459033,1977.30514,0.094152403, J,1,0.338031438,0.01
9,201143107,1,7.843922992,1978.52283,1.564043424, J,1,0.067069183,0.000499999
10,201145205,1,28.402966,1977.380815,3.105401341, J,1,0.323971051,1.095744208
11,201145621,1,28.40594082,1977.366573,0.991484362, J,1,0.086576647,0.376126662
12,201146489,1,21.42846654,1989.586459,6.004301954, E,1,0.128439312,1.028751044
13,201148067,1,40.01727508,1977.405056,5.361641493, J,1,0.130607363,0.840070237
14,201148768,1,38.99426968,1986.589685,1.524765554, J,1,0.1443235,0.00056013
15,201149979,1,40.03607983,1977.403191,8.748567385, J,1,0.386937487,1.191895831
16,201150341,1,28.96556197,1986.583244,1.140516447, J,1,0.107478013,0.235029835
17,201150403,1,35.0347551,1990.547456,2.483563041, J,1,0.072085604,0.001441808
18,201150433,1,25.39554322,1990.549255,1.598189432, J,1,0.076518442,0.451982693
19,201150492,1,0.281400719,1977.335881,0.862632823, J,1,0.229233474,0.057482799
20,201151020,1,40.03747998,1977.401874,7.699582318, J,1,0.340663442,1.117778283
21,201151249,1,35.03390581,1990.551162,2.282566708, J,1,0.122987805,0.663355894
22,201151442,1,38.99448927,1986.586742,1.457003656, J,1,0.158347725,0.000445195
23,201152336,1,32.15838691,1986.585408,2.606186803, J,1,0.178021794,0.570869511
24,201152340,1,27.8682262,1977.419617,3.53782826, J,1,0.088530468,0.009757158
25,201152386,1,0.245059475,1977.333905,0.141154258, J,1,0.055431938,0.01
26,201152511,1,29.67541932,2004.499764,1.72201199, J,1,0.084526647,0.553013727
27,201152601,1,38.89471467,1977.415663,5.139078126, J,1,0.073540611,0.897987596
28,201154313,1,24.65298465,1990.523409,0.857984762, J,1,0.151576021,0.002898894
29,201154373,1,0.245037228,1977.338055,0.141141443, J,1,0.056680704,0.01
30,201154502,1,35.26692412,1990.315049,1.856272877, J,1,0.15665916,0.439109162
31,201155103,1,40.03443312,1977.402084,8.345612086, J,1,0.325250308,1.051351718
32,201155177,1,6.686830778,1981.678431,2.8919013, C,1,0.031154566,0.225558931
33,201156121,1,28.96452411,1986.57428,1.742196893, J,1,0.074379107,0.476962876
34,201156403,1,35.26702565,1990.295987,1.957155651, J,1,0.179529862,0.726732889
35,201156414,1,38.99445555,1986.597205,1.993189239, J,1,0.114304061,0.000500004
36,201156882,1,29.21875936,2006.457388,0.997743391, J,1,0.382462231,0.791557287
37,201157270,1,35.00474073,1990.559091,1.236372395, J,1,0.123804378,0.791674762
38,201157465,1,38.99440042,1986.57767,2.042160159, J,1,0.125091569,0.445925037
39,201158453,1,7.077647435,1980.478513,5.152038958, E,1,0.413454974,0.767715448
40,201158504,1,35.26720169,1990.318805,2.026330331, J,1,0.118466004,0.525006819
41,201158991,1,29.32779419,1986.60572,1.805149027, J,1,0.16121013,0.483027139
42,201159088,1,34.6878349,1981.530854,2.031352529, J,1,0.043325679,0.735725934
43,201159893,1,35.26720091,1990.315807,1.954607898, J,1,0.156292099,0.461134494
44,201160212,1,34.687784,1981.536427,1.621859378, J,1,0.058379263,0.297690716
45,201160323,1,22.2702128,1978.497342,4.283881898, E,1,0.593112137,0.613336761
46,201160409,1,40.06238177,1977.404252,9.150804192, J,1,0.436943927,1.150836706
47,201160915,1,39.06162648,1986.590776,2.434860798, J,1,0.15945341,0.421361878
48,201161372,1,35.03407061,1990.558581,1.904823556, J,1,0.075458624,0.558711656
49,201161425,1,37.06631186,1986.616079,2.478068275, J,1,0.286500769,1.129192339
50,201161715,1,10.49530237,1986.425291,18.44555057, E,1,0.152939665,0.802710244
51,201162999,1,21.08286059,1996.439158,1.724141283, J,1,0.073580911,0.000175422
52,201163095,1,13.9914081,1990.735345,1.636935156, J,1,0.083884005,0.069527088
53,201163588,1,30.94438244,1986.53222,1.549107574, J,1,0.176709469,0.323428308
54,201164031,1,25.75619539,1986.617611,2.207669457, J,1,0.270713442,1.125321579
55,201165050,1,35.26730346,1990.313993,1.73360059, J,1,0.127453065,0.476629511
56,201165265,1,7.843966657,1978.522988,1.609830454, J,1,0.064495883,0.451449402
57,201167705,1,34.68579244,1981.541187,2.418152401, J,1,0.421897254,0.967660358
58,201167905,1,32.18126194,1986.53997,2.0265427, J,1,0.038737206,0.784595428
59,201168229,1,20.6462583,1977.424732,2.613115548, J,1,0.107691671,0.831839571
60,201168882,1,32.15572458,1986.588913,2.382161672, J,1,0.13886027,0.070408574
61,201168957,1,38.92775112,1986.640831,1.808070841, J,1,0.06216267,0.010665213
62,201169812,1,20.64561074,1977.425987,2.539878778, J,1,0.072562523,0.000761758
63,201170206,1,29.30783326,1986.627854,1.642655352, J,1,0.102785668,0.000380243
64,201170680,1,34.68830611,1981.532934,2.412885291, J,1,0.079703739,0.868274085
65,201171121,1,35.26719035,1990.314968,1.865664397, J,1,0.150074554,0.453117354
66,201171442,1,40.01674098,1977.427014,5.730611329, J,1,0.069858601,0.569774241
67,201171815,1,35.26779504,1990.308864,2.972075122, J,1,0.128951142,0.964719853
68,201172326,1,40.04486538,1977.401287,8.363096579, J,1,0.427087204,1.208900261
69,201172593,1,14.26825848,1990.170625,2.067186065, J,1,0.028754256,0.000612891
70,201172705,1,39.02792405,1986.571536,2.620988532, J,1,0.205362518,0.0005
71,201172764,1,40.01649318,1977.412215,5.53135512, J,1,0.145803674,0.812526914
72,201172765,1,35.26749681,1990.316992,1.773120501, J,1,0.071961441,0.575332787
73,201172833,1,0.10220708,1977.324992,0.058871278, J,1,0.032050703,0.01
74,201173097,1,40.01654544,1977.4067,5.176242677, J,1,0.117290075,0.64174033
75,201173390,1,16.99537561,1983.429546,12.44053103, E,1,0.188813126,0.636861912
76,201173704,1,40.06745983,1977.482419,22.13942814, J,1,0.104871509,0.930800265
77,201173845,1,40.01877912,1977.466582,9.061062596, J,1,0.339456046,0.106966363
78,201173952,1,39.06482682,1986.587574,1.293781822, J,1,0.101300024,0.345103542
79,201174004,1,32.15547859,1986.591267,2.124441069, J,1,0.041475682,0.000499193
80,201174640,1,29.21302419,1979.701889,3.822870616, J,1,0.480864348,0.944627824
81,201174763,1,30.42849683,1986.594194,1.800721199, J,1,0.137050025,0.212533345
82,201175161,1,40.03641595,1977.404095,8.730687844, J,1,0.334544436,1.139211594
83,201175283,1,22.18056263,1996.452416,1.280889812, J,1,0.107419626,0.647219089
84,201175515,1,0.923758903,1977.65008,5.599775888, J,1,0.044197481,0.995888961
85,201175794,1,25.79597501,1986.569459,2.427673717, J,1,0.127333231,0.000804098
86,201175819,1,32.15276606,1986.58457,2.056635093, J,1,0.343338654,1.154002383
87,201176672,1,27.21934589,1990.353012,12.28313314, J,1,0.199864758,0.927166669
88,201177343,1,32.15875198,1986.577881,2.966057867, J,1,0.319469129,1.014730318
89,201177440,1,32.31096852,1993.267121,1.229938384, J,1,0.09442891,0.231654563
90,201178756,1,40.01624392,1977.420554,5.536629866, J,1,0.109876141,0.813716559
91,201179300,1,29.33125127,1986.585456,1.476211918, J,1,0.249460893,0.0005
92,201179986,1,34.69017759,1981.53224,2.115903508, J,1,0.229372407,0.664335198
93,201180111,1,38.95511778,1979.767701,1.520851713, J,1,0.1498554,0.003066309
94,201180326,1,7.851932451,1978.472968,1.575926275, J,1,0.043692137,0.003720201
95,201181269,1,17.90487828,1986.619024,1.780786008, J,1,0.131674506,0.927421355
96,201181629,1,7.851959081,1978.473272,1.181655459, J,1,0.048390211,0.466358674
97,201182079,1,40.03843532,1977.416082,9.290924497, J,1,0.183182435,0.966981608
98,201182160,1,34.68645948,1981.538167,2.68907842, J,1,0.339284218,0.794092054
99,201182744,1,32.1814955,1986.548648,2.1357068, J,1,0.10982251,0.000500085
100,201182911,1,0.996561076,1978.090258,2.3075295, E,1,0.608556399,0.53373211
101,201183248,1,35.03384561,1990.542593,1.106836058, J,1,0.098909435,0.605834493
102,201183291,1,22.05424639,1996.690313,1.830730174, J,1,0.052733496,0.607974151
103,201183767,1,39.80523359,1978.919797,1.678071612, J,1,0.193040564,0.267007711
104,201184068,1,0.794282331,1977.576044,2.608426703, E,1,0.635492405,0.457897111
105,201184075,1,0.245139823,1977.304366,0.563683976, J,1,0.043612667,0.590603724
106,201184413,1,25.39335379,1990.541863,2.469161262, J,1,0.136693145,1.040487306
